text	sentiment	category
"@JackPosobiec Stop that Covid nonsense now, you all had common  flu."	Negative	Critique and opinions
I would like to personally thank all the participants in China including the arceling milatary of China for all the damages caused by covid and its Goddamme variants .You arcelings should all eat shit and die the deaths you deserve My Canadian government that has allowed this x10 https://t.co/q6T6J7wbeB	Negative	Critique and opinions
"@BarbLarochelle Way too little, way too late. Too many people have died because of Jason Kenney. Either through unchecked spread of covid, from lack of safe consumption sites for drug users or through suicide because of the devastation the UCP had caused to Alberta. #NeverVoteConservative"	Negative	Critique and opinions
#IMF pushes #Pakistan Prime Minister to disclose PK Rs. 40 billion Covid-19 relief package expenditures. https://t.co/X8dxBbvkES	Neutral	Informative posts
"The Botswana Government has stated that the new #covidvariant originated in 4 vaccinated individuals.

Yet another variant that mutated as a result of the vaccine.

#covid #wexit #covid19 #Omicron"	Neutral	Critique and opinions
"“I think what’s really important for families looking ahead to Christmas is to ensure that people that want to gather are all at least two weeks post their (COVID-19 vaccine) second dose,” Canadian Medical Association president Dr. Katharine Smart said.
https://t.co/HJdZf84lPM"	Neutral	Informative posts
"@tcdikgaka @BWGovernment @MIACBW @Lemskwape @MoHWBotswana Have you seen the Canada one .. Since covid began we had 5 to 7 daily at Federal level, except weekends.. followed by 2 or 3 at each Provincial level the Doctor, Premier, minister of health.. so 3 daily ..when vaccination started they reduced briefings to several days a week .."	Neutral	Critique and opinions
@TheNewArena I wonder how many were the Covid vaccinations	Neutral	Informative questions
"My life has largely gone to shit as of late, but at least i used covid to learn how to play pedal steel. Thats pretty rad."	Neutral	Compassion and sentiment
"@ShannonBwrites I haven't had the chance to eat in yet, mostly cuz COVID, but I have gotten their food via take out a few times and it is AMAZING!"	Positive	Compassion and sentiment
@lrishman7 @FireInnovation_ @mike61400 @ANewsTweeter @BNODesk COVID zero will never happen and lockdowns are useless.	Negative	Critique and opinions
"The last place anyone should get information about the COVID-19 vaccination is the website listed below. I took one for the team &amp; checked it out myself. Unsurprisingly, it is full of inflammatory misinformation. 
I’d suggest trusted sources such as @CanPaedSociety instead https://t.co/s8IjMxw4sw"	Neutral	Critique and opinions
Politics tchrs - https://t.co/0FvLvNksV7	Neutral	Informative posts
@MrBeast you had 456+ in a room together don’t you think that’s not Covid friendly…	Negative	Critique and opinions
@DigbyandBenson There is so much handmade stuff so creative. Covid kept these talented people busy at their crafts.	Positive	Compassion and sentiment
"Active genocide by the Chinese State against over 1million Uighurs? All good! Boycott, never heard of her

An extra week of COVID isolation for foreigners? Damn, thats a little too much to ask, maybe we shouldn’t do the Olympics in China..

Absolutely incredible priorities here👍🏻 https://t.co/emb6fUZhZA"	Negative	Critique and opinions
COVID-19 variant spreads to more countries as world on alert https://t.co/yaq1fkw4ju via @CTVNews	Neutral	Informative posts
"@nevermoreqtr @nejsnave I noticed they are also selling rapid test for $20, where they should be free!

The Federal Government gave millions to Ontario that where never given to the public.
Sat on shelves during the worst of Covid."	Negative	Critique and opinions
@cjsnowdon @FatEmperor Did he mention excess deaths being much more than officially reported COVID-19 deaths?	Neutral	Critique and opinions
"I'll write the annual letter in December, but here's a few take-aways from the numbers:

Drove: 26,940 km
Hotels: 33
Covid Tests: 6

Flights: 4 
In Flight Incident: 1
Avg. Rental Car Rate: $250.

New Clients: 6
Master Plans: 4
Master Plan Updates: 4

Golf Games: 7 https://t.co/lcFwtpXWz6"	Neutral	Informative posts
"UK, Germany and Italy detect #Omicron variant cases, Israel closes borders | Reuters #cdnpoli  https://t.co/hrGGSYQoAt"	Neutral	Informative posts
"@dmc1701 The difference with covid, as opposed to the Spanish Flu of 1918, is herd immunity doesn't work with covid. They had no vaccines in 1918, yet within two years the virus had gone. As we're seeing with covid, over time vaccines wear off, antibody immunity also wears off too."	Neutral	Critique and opinions
@StephenKing And the countless non-Covid patients who can’t get treatment because of unvaccinated Covid patients monopolizing the health care system.	Negative	Critique and opinions
"@jordanbpeterson If this is peer-reviewed and confirmed by more serious studies it means we need to keep wearing our masks and social distancing, not to stop vaccinations. Vaccination against covid has definitely been proven to make you 25 times less likely to end up in hospital, in ICU or dead."	Neutral	Critique and opinions
"3 negative COVID tests in last ten days, double-vaxxed….and still back in isolation out of “an abundance of caution”. But, is what it is. Time to clean a house….and my inbox."	Negative	Compassion and sentiment
@MelissaMbarki Exponentially more dangerous to get tuberculosis that covid and yet look at the difference in response	Negative	Critique and opinions
"See this Instagram post by @albertahealthservices https://t.co/cItiwYmqZ7
Brilliant move on the part of AHS to calm needle fears in 5-11 year olds getting their 1st Covid shots. The more barriers addressed the more likely there is to be higher uptake. 
#LongCovidKids #prevention"	Positive	Critique and opinions
"@paradiddletap @FixingEducation Yup. It’s was terrible prior to Covid. It became much, much worse during the pandemic. Teachers are expected to be everything and everyone to these kids."	Negative	Critique and opinions
@kahnkidz Are burning with all that covid in Michigan https://t.co/yXup3bLPcb	Neutral	Jokes and sarcasm
Very encouraging reports by S Africa medical association  regarding new covid variant Omicron. Symptoms appear to be mild. https://t.co/LM3l1KcHzM	Positive	Informative posts
"@JoeShedler @MISSION2210 I'm hoping he's found some sort of direction. He's been all over the place with injuries and then Covid hitting some of the minor league schedules. I hope he settles in, quiets the noise and is able to just play."	Neutral	Compassion and sentiment
@tombrodbeck This makes me so angry. A friend's cancer surgery had to be delayed due to Covid hospitalizations  and now has spread outside the prostate. Completely  unnecessary.	Negative	Compassion and sentiment
"@siLPH_Co To their credit, “nu covid” is really not what people need to hear right now"	Neutral	Critique and opinions
"Back in March of 2020, I interviewed @UNICEFCanada President &amp; CEO @DMorleyUNICEF about the devastating impact that the pandemic would have on fragile healthcare &amp; social systems in developing nations. And time has proven him right.  https://t.co/8mQQtYZ7HI"	Neutral	Informative posts
@AlistairThomp14 @DFisman @Billius27 Mental well-being is very much ignored when you call Covid-19 a game.	Negative	Critique and opinions
"Confirmed 1st case of omicron in Italy.
It is already everywhere, if anyone had any doubts.
https://t.co/is8ZhuQVgW"	Neutral	Critique and opinions
New Brunswick reports 85 new cases of COVID-19 and 793 active infections https://t.co/BUndR77nOm https://t.co/6ymEmFGFcJ	Neutral	Informative posts
"@bert_kallio funny he calls out conspiracy theorist and the Health cheif says this ""Australian public health chief says Covid contact tracing is part of 'New World Order' lol you cant make this shit up"	Neutral	Critique and opinions
Canadians to get biggest drop in gasoline prices since 2009 over COVID-19 variant fears https://t.co/cKNldmMyJQ	Neutral	Informative posts
"When COVID-19 hit, CP Business Solutions Inc. re-focused time, energy and resources to help other businesses survive, despite losing 50% of their own clients in just 2 weeks. It was no surprise that Cathy was recognized as the Gems COVID-19 hero. Congratulations!#Orléans https://t.co/DPwV9RWdkW"	Positive	Compassion and sentiment
"So #OmicronVariant discovered in SA but is more than likely worldwide, avoids the leaky vaccine, just like the other 14 variants, spread by the vaccinated. But #pfizer can fix it with more #BoosterShots 🤑. Think critically now people. You can do it. https://t.co/slHXxpoJHI"	Negative	Critique and opinions
"@shaunbillings9 @MdRisette ‘Our’. You say that as if you have anything to do with science or healthcare. You just Google shit. 

https://t.co/rbgtXxgHvX"	Negative	Critique and opinions
"Over 500k ppl died because of Covid while Trump golfed, mocked veterans, and disparaged gold Star families. And gave a2trillion $ tax break while millions were starving. That’s what should concern Gym “The P” Jordan. https://t.co/bQEInpbLBq"	Negative	Critique and opinions
"The South African health minister has said that they knew about the variant in July and that this is a massive over reaction. 

This is deliberate propaganda to increase fear, boosters &amp; introduce restrictions. = No New Covid

#DoNotComply 
#NewCovid https://t.co/hJPuUNLNmo"	Negative	Critique and opinions
New Brunswick reports 85 new cases of COVID-19 and 793 active infections https://t.co/r7legFsfYB https://t.co/zwgJ6ebk9B	Neutral	Informative posts
"Sooo...
Aside from my head feeling like it wants to explode, a really sore throat, the inability to take a full breath, my muscles and joints aching, overly tired, going from too hot to too cold &amp; being a phlegm factory...
I'm feeling just peachy.
COVID kinda sucks, Eh!
🤒"	Neutral	Compassion and sentiment
"@JoJoFromJerz Over 500k ppl died because of Covid while Trump golfed, mocked veterans, and disparaged gold Star families. And gave a2trillion $ tax break while millions were starving. That’s what should concern Gym “The P” Jordan."	Negative	Critique and opinions
"@FPL_Olly @AlishaFPL I forgot who had Podence captained, out with Covid isnt he?"	Neutral	Informative questions
"I keep hearing how we should be listening to all these doctors and researchers who have dedicated their lives to medicine for COVID advice. 

I agree. 

Listen to @MartinKulldorff @MartyMakary @DrAseemMalhotra @DrEliDavid @VPrasadMDMPH @NBSaphierMD @GVDBossche"	Neutral	Critique and opinions
"Filipina Care Workers Deserve Right, Protection and Dignity During and Beyond COVID-19 - Sign the Petition! https://t.co/AZyGuFq0b4 via @CdnChange"	Positive	Critique and opinions
"@CTVNews Can the pcr test determine if you have Delta,Omicron, Covid, regular flu, or a cold???"	Neutral	Informative questions
"Surveys suggest over 80% of 🇯🇵 👥 are likely to continue with masks after #COVID19 subsides.
https://t.co/0ahc37iCFf"	Neutral	Informative posts
"@michaelmina_lab So, SARS-2 uses the first available mucus tissue to replicate... I can see how that would motivate the #DropletDogma bitter-enders to dig in. But then why are they not advocating virus-deactivating oral/nasal rinses and/or topical applications? I suppose the answer lies in..."	Negative	Critique and opinions
"@GeorgeTakei I was the only one in my shop to wear a mask after the mask mandate was lifted, and knew it was going to come back. I even pleaded with the mayor to cancel the fair. 2 weeks after the fair there was a boom in COVID cases"	Neutral	Compassion and sentiment
"lol the federal government made me create an uber account (lmao) to pick up the arrival covid test and now the ""delete my account"" function, of course, does not work yay"	Negative	Critique and opinions
COVID-19 variant spreads to more countries as world on alert https://t.co/LtNDkQvcOp	Neutral	Informative posts
"There are 145 known active cases in the region, up eight over the past 24 hours. #ldnont

https://t.co/ZzdZaYUiQ3 https://t.co/ekpomyKWgF"	Neutral	Informative posts
"@counselor_chip I’ve never caught covid, no, which is why I’m so confused about what’s going on… I’m pretty certain there’s also been no brain damage?"	Neutral	Jokes and sarcasm
"In the dystopian future that some envision, 2019 might be called “Year One” 
Everything before that, would be referred to as BC (Before Covid) 
By the Covid Cult reckoning, it’s almost 04"	Negative	Jokes and sarcasm
First book signing In two years @AudreysBooks! With the talented @Ahugheswrites behind plexiglass with masks. We had fun anyway. Covid go away! @RedDeerPress @scholasticCDA @orcabook #booksigning #booktwt https://t.co/6Qk8jepodw	Positive	Compassion and sentiment
The youngest got their first dose of the Covid-19 vaccine today. We will soon. be a fully vaccinated family of four! Cautiously optimistic as we head toward 2022. Doing our part to protect ourselves and our fellow humans. #covidAB #GetVaccinated	Positive	Compassion and sentiment
"@NaheedD South Africa and the related countries have the vaccine stock, the issue is uptake !! Whether they choose not to or feel they don’t need to having had Covid already remains to be seen."	Negative	Critique and opinions
#Brandon COVID vaccine clinics offering both booked &amp; walk in appointments.  You can now book for 5 years old &amp; up.  3rd dose eligibility at least 6 months since 2nd dose &amp; 18 years of age &amp; up.  Book online: https://t.co/UBkbc9WJ7x or call 1-844-626-8222 https://t.co/pmYxwdgWRt	Neutral	Informative posts
"Has the COVID-19 pandemic made you feel like your suddenly overstuffed home somehow shrank? Or do you live in a medium-sized home you wish was (extra) large? Or maybe you want to upsize, but the current market's high prices has you  https://t.co/hqpCVNngiw https://t.co/6BzLS2F9FG"	Neutral	Informative posts
"Pandemic, Christmas , Covid - Ornament , 2021 , second Covid year , corona virus, covid-19 ,masks ,Quarantine , YEAR summarized https://t.co/ciw96EkCyY #TulleVogue #shoplocalpickering #shoplocal #Etsy #Ornament https://t.co/uiEu8Aod7v"	Neutral	Informative posts
@Lindas_Here @morgfair That has been my complete mindset in terms of Covid. I am not as worried about myself as much as living with the thought that someone could die because I was not careful. 💛	Positive	Critique and opinions
"Not a bad profile, but the line that Mennonites ""endured centuries of persecution in Europe"" is not correct in the sense the article implies. The myth of constant persecution is unhelpful. https://t.co/WTC9HGVGvH"	Neutral	Critique and opinions
"Migrant caravan headed towards U.S. amid concerns over COVID-19 omicron variant. The caravan includes hundreds from Haiti, Central America, Venezuela. (brain dead Biden stops legal people from coming but allows illegals with covid in at southern border)
#braindeadbiden https://t.co/q1DTCvMbUa"	Neutral	Critique and opinions
"@StephenPunwasi I actually find it both amusing and scary that people think it’s not here. We have been through this with original covid, alpha, and delta. 

Lets try it again!"	Negative	Critique and opinions
"@kahnkidz Lisa, you are not alone. We need to get Trudeau out of government. He is a threat to our democracy. Our charter of rights.

Quebec, Ontario, etc all following Trudeau’s lead! $$

https://t.co/RG83M7KCMJ"	Negative	Critique and opinions
@RealCandaceO Can’t wait till they come out with therapeutics. Covid is never going away. Vaccines that don’t last are pointless. Everyone will get Covid at some point during the next few years. MABS. Merk has one And Pfizer is working on one as well. At lease we can then live with Covid	Negative	Critique and opinions
@LeonydusJohnson Yes. Covid is a flu bug which can be handled well with a good immune system and perhaps some natural remedies. Your immune system is strong because you have not been vaxxed. https://t.co/HyvO910f9o	Neutral	Critique and opinions
"For investors, there is nothing like reports of a new Covid-19 variant over American Thanksgiving to put things in perspective. https://t.co/nxtslRqZM1 https://t.co/Xnm9o30BJH"	Neutral	Critique and opinions
COVID mRNA shots are a ‘technology designed to poison people’: Canadian doctor - LifeSite https://t.co/wvNb4IqsPF	Negative	Critique and opinions
"@PaulKitchin87 @PatSpringleafDS @danbeasley1 @PoliticsForAlI &gt;mandate put in place
&gt;millions ignore mandate
&gt;COVID rate goes up
&gt;”see? mandates don’t work! masks are useless and if they weren’t, then why is the covid rate so high?”"	Negative	Critique and opinions
@CP24 Breaking News: Most people I know who got the jabs already caught Covid before so stop crediting the vaccines for protecting them and stop pretending natural immunity doesn't exist. Most people I know got the shots just so they could travel or sit in a bar. SMH	Negative	Critique and opinions
Covid jab effective against new variant: SA minister https://t.co/hxrZrJTjJ3 @deccanherald	Neutral	Informative posts
"@Charlie85915085 It worked, he doesnt have to worry about covid."	Neutral	Critique and opinions
@CynicalPole FYI vaccinated people are spreading covid just the same. You really should educate yourself prior to being a stupid person making stupid rant posts	Negative	Critique and opinions
The COVID-19 pandemic that started with catastrophic job losses has produced the best conditions in ages for finding work with better pay and benefits. https://t.co/kfY07PGTBR https://t.co/uaLfAGEgls	Positive	Informative posts
U.S. stock index futures pointed to a slide at the post-Thanksgiving Wall Street open and oil hit two-month lows as fears of a possibly vaccine-resistant coronavirus variant sent investors scurrying to safe-haven assets. https://t.co/t4eiIUAzsN https://t.co/1ln7Cnm9yH	Neutral	Informative posts
"Pfizer-BioNTech is currently running clinical trials for those aged six months to just under five years. Dr. Tam said she anticipates seeing results from the clinical trials for those aged two to five first.

Read more: https://t.co/QAQrRQpGkh #cdnpoli https://t.co/x8xVoNUaOv"	Neutral	Informative posts
"🇬🇧 UK Volcanologist @ProfBillMcGuire, author of recent book #Skyseed,  addresses how the new COVID-19 variant of concern, B.1.1.529 Omicron, can spread via travel👇 https://t.co/y33Hwkf4ys"	Neutral	Informative posts
"@shaunbillings9 @MdRisette So provide a source for *your* claim. I’m quite sure you pulled your statistic out of your ass. And no, Covid doesn’t just affect kids with underlying conditions. Where in that study did it say that?"	Neutral	Critique and opinions
"Public Health reported today that there are 85 new cases of COVID-19, with the number of active cases at 793. There are 17 new cases in the Miramichi Region. Read full report below:

https://t.co/GfkfFC2e6q"	Neutral	Informative posts
Nursing homes can now lift most COVID restrictions on visits https://t.co/3yGLS4YSPx https://t.co/oYoosn9VVV	Neutral	Informative posts
"During the Covid pandemic, home prices have shot up nearly nationwide while household income fell. As a result, homeownership became out of reach for many would-be buyers. However, affordability was a growing problem well before 202 https://t.co/x3GXn1mcSM https://t.co/gyjS63Qb84"	Neutral	Informative posts
US Stock market down by 500 pts amid new COVID strain discovery ‘Omicron’ in South Africa https://t.co/CF7jjVo8cG #markets	Neutral	Informative posts
"@ClaudiaWebbe So you are ok with a varient of covid 19 entering the country?
Why did you miss out uk?  Do we not have issue with poverty!"	Negative	Critique and opinions
#AUPE claims #RedDeer Hospital workers being axed while #COVID-19 pandemic still rages https://t.co/O05PboV1BP https://t.co/WM9Ty8AAFI	Neutral	Informative posts
"#LATEST: Dr. Anthony Fauci said he would not be surprised if the omicron COVID variant was already in the U.S.

""We have not detected it yet, but ...it almost invariably is ultimately going to go essentially all over.'' https://t.co/XYBGWDIWe5"	Neutral	Informative posts
"Canadians to get biggest drop in gasoline prices since 2009 over COVID variant fears

https://t.co/RKT8RL3XcM"	Neutral	Informative posts
Worst ever COVID variant named Omicron (All you need to know) https://t.co/9rws4exoRU via @YouTube #covidvariant #COVID19 #Corona #CoronavirusUpdates #OmicronVariant #StaySafe #selfcare #SocialDistancing #pandemic #vaccination	Neutral	Informative posts
I want to see no additional people killed or harmed by Big Pharma’s #shotofcope. The best way to accomplish that is to stop treating all patients the same. A 10 year old has no statistical risk from Covid; why are we injecting them? Stop mass vaccination. https://t.co/pbgKXm1iVG	Negative	Critique and opinions
@Paydaykid @PCcaucus Maybe it it’s time for PCMB to run the numbers. How much are those votes and memberships in SH region vs the Covid impact on health care. We taxed smokers for their impact on the system Churches need new tax rules.	Negative	Critique and opinions
"@Dimcl2 I was trying to encourage my sister again today with as many facts and logic as possible.

In the end I just started crying and told her if she or the others get horribly sick or die of Covid it will kill me, then asked her again to please #GetVaccinated"	Positive	Compassion and sentiment
"UK media hyping fear against unvaccinated, but 71% of COVID patients are jabbed - LifeSite https://t.co/jMxSr31uUl"	Negative	Critique and opinions
@prairiecentrist And yet Israeli nationals will still come home no?  Their are no borders for covid	Neutral	Critique and opinions
@AureliaCotta Healthcare systems in most low income countries were already fragile before the pandemic. COVID-19 forced them to transfer resources away from nutrition &amp; immunization &amp; maternal care to pandemic response. The damage done is massive. The answer is to help bolster fragile systems.	Neutral	Critique and opinions
@Superno_1111 Coworker chats are mostly cringey when it comes to covid. We are back in the office and it's harder to slide out of these conversations.	Negative	Critique and opinions
"@agargmd I take my daily Flintstone covid chewable, so I'm always protected"	Negative	Jokes and sarcasm
"""New cases were confirmed Saturday in Germany and Italy, with Belgium, Israel and Hong Kong also reporting that the variant has been found in travelers.""
https://t.co/DoiBF1j89A"	Neutral	Informative posts
@AHS_media Lady should be worried about heart disease and diabetes more than her kid getting covid	Negative	Critique and opinions
"Just reserved tickets for Christmas Lights at @butchartgardens. Another win for COVID-19: way easier to book in advance, compared to the annual tradition of waiting in a line of 300 cars to get in. Some sold-out dates already! #yyj #saanich #oakbay #victoriabc #christmas https://t.co/I0tzSHsoRF"	Positive	Critique and opinions
"@Audreyforshey @That_NaijaGuy @XVanFleet @AndreaW43164732 The camps are in Canada

https://t.co/5bZ918HVAt"	Neutral	Informative posts
"@DiegoSanchezUFC If you didn’t believe in the medical field to prevent covid, you should’ve stayed home once you got it.  This was preventable and now you’re taking up a bed.

https://t.co/tBjdqrIADd"	Negative	Critique and opinions
@ronnyrxck ……I’m 17 in advanced functions but I never learned factoring bc of COVID so now I gotta teach myself	Neutral	Compassion and sentiment
"@ruthhomburg @MaximeBernier So should doctors turn away people with other transmissible viruses or diseases? Not just covid. So if you’re not vaccinated you’re no longer a patient? And vaccinated people can catch and transmit covid, how about they see no one then."	Negative	Critique and opinions
"@thehill @TheHillOpinion No, you’re going to give the martians Covid!"	Neutral	Jokes and sarcasm
Pfizer said an updated version of its COVID-19 vaccine will be 'ready in 100 days' if the new Omicron variant is resistant to its current vaccine https://t.co/11jmlKaMyE	Neutral	Informative posts
@LisbetBiden citizens are now covid-biased-pandemic paparazzi 😒😔😒	Neutral	Critique and opinions
"@ChontaConPalta @adriandix Vaccines don’t “hardwire” anything. Just as the annual flu vaccines include protection against different strains each year, so would future COVID vaccines. If any new variant has properties in common with current variants, the existing vaccine would still provide some protection."	Neutral	Critique and opinions
"@Spooky_2001 @MidnightDevilZ I am *~*Canadian*~* so most of your info isn't gonna carry over.

There's antigen screenings then covid tests they're like two different things. Apparently I can do a screening (which is like $40) to enter but need the molecular one coming back."	Neutral	Critique and opinions
"@Elise_ekd @JBradshaw01 They are going to be okay thanks. They will get through it.
I just feel so badly that Covid has made it such a struggle. I think some adults forget that 18 mo-2 yrs is a *long* time in a kid’s life.
As a retired educator it really hurts my heart. These yrs are supposed to be fun."	Neutral	Compassion and sentiment
Celebrating the kids getting their first Covid vaccine dose with a Covid Cake! https://t.co/f4XsPaesqd	Neutral	Compassion and sentiment
"@That_NaijaGuy @bomba_chica @Audreyforshey @XVanFleet @AndreaW43164732 AUS military taking people out of their homes 

https://t.co/4BqtFnZmL6"	Negative	Critique and opinions
@TheSmithPlays @OnceUponEm @MrTLexify @MrRoflWaffles @TheCh0pper @xConway22 @LiamWinter @JCbackfire Lex is wearing his Covid mask wrong	Negative	Jokes and sarcasm
COVID cases are rising in the southern health region… https://t.co/wThOuPjhR6 https://t.co/6lSzu2toa4	Neutral	Informative posts
"@Ravencrowe10 @Tormund_G_ @StoneSculptorJN @StanTumoth @TrumpDownfall @SwearingJustin @SoupVessel @RarelySurprised @anja_weimer @Thumper754 @RantsWinnipeg @tlstene @MarkSlapinski @MarkFriesen08 If you paid any attention, hitler’s hate started a decade before that and every step was based on that.  Comparing anything he did to a time when the government is trying to stop people from getting sick, suffering and dying from Covid is ridiculous. 

Also, isreal is on shot #3."	Negative	Critique and opinions
"Shola  Solomon (@SolasoloSolomon) Tweeted:
Merck's COVID-19 pill is effective, U.S. regulators say https://t.co/8rI3V74myK https://t.co/4Y38GTOp8I"	Neutral	Informative posts
How about a highway blocking flood preventing travel with a side of COVID variant lockdowns just in time for Christmas? Maybe a supply chain issue. Maybe a stock market crash. Perhaps some atmospheric rivers.	Neutral	Jokes and sarcasm
"The pandemic is not over. 

https://t.co/nw221FZihY"	Neutral	Informative posts
"@gregbradyTO But but but…covid variants!!! Pfffft!!!

People want to move on with their lives &amp; Karen needs to GTF out of the way."	Neutral	Critique and opinions
"@prairiecentrist Those who got vaccinated early on (like us) remained optimistic the rest of the people would comply and we'd stomp out covid. For those who have not yet, I can see the hesitancy growing, unfortunately. I don't have answers here :("	Neutral	Compassion and sentiment
"Merck's COVID-19 pill is effective, U.S. regulators say https://t.co/8rI3V74myK"	Neutral	Informative posts
"COVID-19: Behave as if 'Frankenstein' Omicron variant is already here, expert says https://t.co/qIPdn0424x via @ottawacitizen"	Neutral	Informative posts
@maryloupatey @adriandix That was addressed in an update. Those people are counted as “cases” but not as “hospitalizations.” COVID has to be the primary diagnosis for those patients to be counted among the hospitalized.	Neutral	Informative posts
They didn't want to offend participant 001 in the Covid Games! https://t.co/9wsCYPqWav	Neutral	Jokes and sarcasm
"@JonnyBones must be nice !!! i had to defer this months car payment cause i got exposed yo covid and was made to stay home for 14 days leaving me with no paycheck... 2 kids make 56,000 a year and still live paycheck to paycheck...."	Negative	Compassion and sentiment
@PaulMitchell_AB So…Theresa Tam is to blame for COVID and vaccinations 🙄	Negative	Critique and opinions
@emadguirguismd @BLNewsMedia @DrP_MD @TheoFleury14 What’s all the fuss about if successive viral mutations produce less virulent forms of covid? Omicron is said to produce very mild disease.	Neutral	Critique and opinions
"@weedandwings4me @joncoopertweets Well probably not, because anti vaxxers are well known for lying about everything.    You should research that claim 😆 

Why don't you know how many people had heart attacks and other issues due to having covid?"	Neutral	Critique and opinions
"Thread. South Africa was first to identify the #Omicron virus already present in many parts of the world, including Europe. The virus didn't originate in SA. The comfort derived from prejudice, biased narratives and arbitrary travel bans won't protect us from #covid variants. https://t.co/zPU1w7mmbf"	Neutral	Critique and opinions
"@shaunbillings9 @MdRisette Absolutely false number. Oh, and your risk of cardiac complications is much higher with Covid itself, especially in children. 

https://t.co/Qi7oGThj9O"	Negative	Informative posts
Just got my covid booster! 7 more shots and I get a free coffee https://t.co/302oO9EcQZ	Positive	Jokes and sarcasm
"My two precious girls have now been given their first dose of the COVID vaccine. Thank you to everyone who made it possible. Please, everyone, vaccinate yourselves and your children. https://t.co/WtYy015zqp"	Positive	Compassion and sentiment
"@salishsea86 It really is. We’re in for wild weather for the remainder of our lives I think. Hopefully we can collectively figure out how to be safe and mitigate the damages, because between Covid and climate, we’re in this for a long haul."	Neutral	Critique and opinions
"@colin_korol Justin, can we fight the new COVID variant with climate change?! https://t.co/zAjx430BG4"	Neutral	Jokes and sarcasm
Intramuscular Injection Of Monoclonal Antibodies Simplifies Covid Treatment https://t.co/ca63xPn1of #Forbes #Healthcare	Neutral	Informative posts
"#BC #COVID19 and #COVID19Vaccine Adverse Health Reaction Statistics, November 27, 2021
➡️Infographics for BC in one post. 👇
https://t.co/KIdQmFA0eD https://t.co/YNZp5TYwg9"	Neutral	Informative posts
"@Charlie85915085 The uneducated need to stop telling people how to protect themselves from Covid.
PLEASE, stop spreading lies &amp; taking lives!"	Neutral	Critique and opinions
@copperleaf22 I hope they have fun with that covid spreader 😂😂😂😂	Neutral	Jokes and sarcasm
"BC highway closures clearly limit freedom, but I haven't heard any voices protesting gov ""overreach"" or ""tyranny."" The diff between this &amp; COVID is that a highway washout is a danger many understand, while the nuances of a pandemic, immunology, etc. are understood by only a few."	Neutral	Critique and opinions
@PDChina we could use china expertise to help address covid situation. So not a lose-win but a win-win-won	Neutral	Critique and opinions
We will be hearing about more hospital outbreaks within NB. Airborne precautions are desperately needed.	Neutral	Critique and opinions
Reposting … because nothing is more infuriating than to listen to these words knowing they still haven’t removed the “covid is not airborne“ nor stepped up to deliver a press conference on #COVIDisAirborne … so @WHO what is your role? https://t.co/Jra6EQwnkb https://t.co/4j6jbqGvdE	Negative	Critique and opinions
Canada clamps down on Omicron COVID-19 variant. Experts say it’s likely ‘already here’ - National | https://t.co/OpWPv9YwKE https://t.co/2F7LuSEKMh	Neutral	Informative posts
"@weedandwings4me @joncoopertweets What about the ones dropping due to covid.  You know, the ones who actually exist."	Neutral	Critique and opinions
TVA Sports-RDS Pushing covid-19 vaccine 24 hrs a day by their borderline Fascist Government. I thought these were sports entertainment Channels? Guess Not	Negative	Critique and opinions
REMEMBER Nov 27: Canada tossed 1 million COVID vaccines and has a stockpile of 18.7 million #BoosterShots now	Neutral	Critique and opinions
"@wsilverwings2 Hi there. Additional doses of the COVID-19 vaccine are available for eligible groups, including: travellers to jurisdictions where Covishield/AstraZeneca or mixed doses are not recognized; residents of long term care and supportive living facilities."	Neutral	Informative posts
@prairiecentrist No one ever claimed vaccination prevented covid. It mitigates bad outcomes. So yeah...still need everyone to get vaccinated unless you are tired of life then you do you	Neutral	Critique and opinions
"With the added challenge of COVID-19 and the rising costs of food across Ontario supporting our students with food security is more important than ever. To donate to the Food Insecurity Bursary or apply for support, visit https://t.co/dg8M9mouxL. https://t.co/HH67E6G4ov"	Neutral	Informative posts
SK recorded more recoveries from COVID-19 than new cases today. Details at 5 w/ GX94 News.	Neutral	Informative posts
"A big thank you the LaCours, parents of the year 🏆. 
They offered their first born Eloise to the experimental alter of the vaccine Pfizer god because Angelica (mom) says it’s not safe to take her daughter to the movies #ProtectTheChildren from Covid 💉🦠 😷 🤡 #moana 🏝 https://t.co/ZwMY8yRJmm https://t.co/9srkSyxtL7"	Positive	Compassion and sentiment
COVID-19 cases and classroom closures at Hamilton schools: Nov. 21 to 27 https://t.co/Ch8gxpxrqY	Neutral	Informative posts
Imagine paying hundreds to get a covid test that’s negative the day before your flight home and they make you take a 2nd covid test when you land in Canada 🤯	Negative	Critique and opinions
"@OneVapid If it’s mild, we should start having covid parties like the chicken pox parties of the 80’s. Might as well get the anti bodies from the weakest one yet."	Neutral	Jokes and sarcasm
"@jentaub Great job! A nation leading raging increase in 
Covid in Michigan + 100,000 maskless people crammed into a stadium yelling, spitting on each other for 3 hours  What a country! Hilarious"	Negative	Jokes and sarcasm
"@Lisacandycanes Hi, my name is Brooke. I am 14 and hope that there is no more Covid in 2022."	Neutral	Compassion and sentiment
